Model,CV_RMSE_Mean,CV_RMSE_Std
CatBoost_Tuned,1078.3807044090142,20.244586110929628
CatBoost_Base,1084.978093704641,18.71565151241431
Ridge,1137.6722999881083,26.218577611834117
Mean baseline,1697.7240714332984,26.168240707436414
